Rubus ulmifolius
Rugosomyces obscurissimus
Rumex hydrolapathum
Rumex pulcher
Rumex thyrsiflorus
Ruspolia nitidula
Russula claroflava
Russula cutefracta
Russula faginea
Russula maculata
Russula postiana
Russula pseudointegra
Russula subfoetens
Russula velutipes
Rusticoclytus rusticus
Ruta graveolens
Sabra harpagula
Sagina nodosa
Salamandra salamandra
Salix caesia
Salix laggeri
Salix pentandra
Salix repens
Sanguisorba officinalis
Saperda carcharias
Saperda octopunctata
Saperda populnea
Saturnia pavonia
Saturnia pyri
Satyrium acaciae
Satyrium ilicis
Satyrium pruni
Satyrium spini
Satyrus ferula
Saxicola rubetra
Saxicola torquatus
Saxifraga bulbifera
Saxifraga diapensioides
Saxifraga granulata
Saxifraga mutata
Scheuchzeria palustris
Schismatomma pericleum
Schoenus ferrugineus
Schoenus nigricans
Scleranthus annuus annuus
Scleranthus annuus polycarpos
Scleranthus annuus
Scleranthus perennis
Sclerochloa dura
Scleroderma verrucosum
Scolitantides orion
Scolopax rusticola
Scorpidium scorpioides
Scorzonera austriaca
Scorzonera humilis
Scrophularia auriculata
Scrophularia canina
Scrophularia juratensis
Scutellaria alpina
Scutiger cristatus
Sebacina dimitica
Sedum anacampseros
Sedum cepaea
Sedum rubens
Sedum villosum
Segmentina nitida
Selinum carvifolia
Sempervivum wulfenii
Senecio aquaticus
Senecio paludosus
Senecio sylvaticus
Serapias vomeracea
Seseli annuum
Seseli montanum
Setina irrorella
Sidera vulgaris
Silaum silaus
Silene coronaria
Silene noctiflora
Silene otites
Silene saxifraga
Silene suecica
Silene viscaria
Silo piceus
Simocybe centunculus
Simocybe haustellaris
Simocybe sumptuosa
Sinodendron cylindricum
Sison amomum
Sistotremastrum niveocremeum
Sisymbrium austriacum
Sisymbrium strictissimum
Smerinthus ocellata
Somatochlora alpestris
Somatochlora arctica
Sorbus domestica
Sorbus latifolia
Spergula arvensis
Sphagnum angustifolium
Sphagnum capillifolium
Sphagnum cuspidatum
Sphagnum fallax
Sphagnum flexuosum
Sphagnum fuscum
Sphagnum papillosum
Sphagnum rubellum
Sphagnum russowii
Sphagnum tenellum
Sphecodes albilabris
Sphecodes pellucidus
Sphecodes reticulatus
Sphecodes scabricollis
Sphingonotus caerulans
Sphyradium doliolum
Spialia sertorius
Spiranthes aestivalis
Spiranthes spiralis
Spondylis buprestoides
Stachys annua
Stachys pradica
Staphylea pinnata
Steccherinum bourdotii
Stellaria holostea
Stellaria neglecta
Stenobothrus rubicundulus
Stenurella nigra
Sterna hirundo
Stethophyma grossum
Stipa capillata
Stipa eriocaulis
Strangalia attenuata
Streptopelia turtur
Suillus plorans
Swertia perennis
Sylvia borin
Sylvia communis
Sylvia nisoria
Sympecma paedisca
Sympetrum depressiusculum
Sympetrum flaveolum
Sympetrum pedemontanum
Symphytum bulbosum
Synagapetus dubitans
Tachybaptus ruficollis
Tachymarptis melba
Tadarida teniotis
Tanacetum corymbosum
Tandonia rustica
Tapesia rosae
Taraxacum dissectum
Telephium imperati
Tephromela atra
Tephroseris capitata
Tephroseris helenitis
Tephroseris integrifolia
